
Iterations = 5005:105000
Thinning interval = 5 
Number of chains = 1 
Sample size per chain = 20000 

1. Empirical mean and standard deviation for each variable,
   plus standard error of the mean:

            Mean      SD  Naive SE Time-series SE
beta[1]  1.66418 0.04882 3.452e-04      0.0051033
beta[2]  1.49310 0.03003 2.123e-04      0.0014704
beta[3] -0.53051 0.03307 2.338e-04      0.0017440
beta[4] -0.20185 0.03705 2.620e-04      0.0021359
beta[5]  2.42315 0.06186 4.374e-04      0.0066151
beta[6] -0.02487 0.01464 1.035e-04      0.0005521
beta[7] -0.85359 0.03880 2.744e-04      0.0031083
beta[8]  1.14910 0.04744 3.355e-04      0.0040783
beta[9]  0.18926 0.01350 9.547e-05      0.0002807
r[1]     0.30858 0.03008 2.127e-04      0.0002230
r[2]     0.32272 0.03185 2.252e-04      0.0002260
r[3]     0.32118 0.03140 2.220e-04      0.0002169
r[4]     0.31391 0.03065 2.167e-04      0.0002167
r[5]     0.39778 0.04003 2.830e-04      0.0002830
r[6]     0.46462 0.04741 3.352e-04      0.0003352
r[7]     0.44190 0.04467 3.159e-04      0.0003159
r[8]     0.44890 0.04535 3.207e-04      0.0003337
r[9]     0.44620 0.04537 3.208e-04      0.0003208
r[10]    0.48574 0.04949 3.499e-04      0.0003499
r[11]    0.46361 0.04742 3.353e-04      0.0003397
r[12]    0.41005 0.04160 2.941e-04      0.0002986
r[13]    0.45276 0.04555 3.221e-04      0.0003221
r[14]    0.45755 0.04642 3.283e-04      0.0003283
r[15]    0.45861 0.04665 3.298e-04      0.0003298
r[16]    0.44691 0.04507 3.187e-04      0.0003187
r[17]    0.46587 0.04755 3.362e-04      0.0003362
r[18]    0.44877 0.04518 3.195e-04      0.0003294
r[19]    0.43920 0.04443 3.142e-04      0.0003260
r[20]    0.44359 0.04479 3.167e-04      0.0003167
r[21]    0.42720 0.04309 3.047e-04      0.0003047
r[22]    0.46825 0.04793 3.389e-04      0.0003389
r[23]    0.47324 0.04838 3.421e-04      0.0003421
r[24]    0.45555 0.04636 3.278e-04      0.0003278
r[25]    0.47001 0.04749 3.358e-04      0.0003358
r[26]    0.44731 0.04550 3.217e-04      0.0003217
r[27]    0.44652 0.04510 3.189e-04      0.0003189
r[28]    0.42273 0.04225 2.988e-04      0.0002988
r[29]    0.45302 0.04587 3.244e-04      0.0003244
r[30]    0.44805 0.04528 3.202e-04      0.0003202
r[31]    0.45149 0.04596 3.250e-04      0.0003297
r[32]    0.46471 0.04752 3.360e-04      0.0003360
r[33]    0.43903 0.04500 3.182e-04      0.0003182
r[34]    0.46877 0.04786 3.385e-04      0.0003385
r[35]    0.47271 0.04841 3.423e-04      0.0003423
r[36]    0.46947 0.04782 3.381e-04      0.0003381
r[37]    0.45032 0.04582 3.240e-04      0.0003240
r[38]    0.45896 0.04649 3.288e-04      0.0003288
r[39]    0.46043 0.04711 3.331e-04      0.0003374
r[40]    0.46247 0.04690 3.316e-04      0.0003353
r[41]    0.45662 0.04597 3.251e-04      0.0003251
r[42]    0.45694 0.04620 3.267e-04      0.0003267
r[43]    0.44204 0.04510 3.189e-04      0.0003189
r[44]    0.43309 0.04348 3.074e-04      0.0003111
r[45]    0.44883 0.04528 3.202e-04      0.0003202
r[46]    0.49253 0.05060 3.578e-04      0.0003527
r[47]    0.45619 0.04582 3.240e-04      0.0003240
r[48]    0.48721 0.04982 3.523e-04      0.0003577
r[49]    0.50482 0.05146 3.639e-04      0.0003639
r[50]    0.52380 0.05353 3.785e-04      0.0003785
r[51]    0.51744 0.05340 3.776e-04      0.0003776
r[52]    0.52064 0.05356 3.788e-04      0.0003845
r[53]    0.48480 0.04926 3.483e-04      0.0003483
r[54]    0.49348 0.05024 3.553e-04      0.0003553
r[55]    0.48481 0.04957 3.505e-04      0.0003505
r[56]    0.44278 0.04427 3.130e-04      0.0003130
r[57]    0.45881 0.04653 3.290e-04      0.0003290
r[58]    0.46948 0.04731 3.345e-04      0.0003345
r[59]    0.46589 0.04702 3.325e-04      0.0003325
r[60]    0.42487 0.04227 2.989e-04      0.0002989
r[61]    0.47358 0.04788 3.385e-04      0.0003354
r[62]    0.44221 0.04392 3.106e-04      0.0003106
r[63]    0.47230 0.04798 3.393e-04      0.0003393
r[64]    0.53343 0.05446 3.851e-04      0.0003851
r[65]    0.44678 0.04501 3.183e-04      0.0003183
r[66]    0.51593 0.05219 3.690e-04      0.0003690
r[67]    0.48186 0.04837 3.420e-04      0.0003420
r[68]    0.46545 0.04627 3.272e-04      0.0003272
r[69]    0.51382 0.05162 3.650e-04      0.0003666
r[70]    0.51745 0.05167 3.654e-04      0.0003654
r[71]    0.59046 0.06129 4.334e-04      0.0004334
r[72]    0.55290 0.05686 4.021e-04      0.0004075
r[73]    0.55903 0.05722 4.046e-04      0.0004046
r[74]    0.53853 0.05483 3.877e-04      0.0003877
r[75]    0.54866 0.05585 3.949e-04      0.0003949
r[76]    0.51022 0.05132 3.629e-04      0.0003629
r[77]    0.56447 0.05794 4.097e-04      0.0004097
r[78]    0.49600 0.04940 3.493e-04      0.0003493
r[79]    0.49544 0.04986 3.526e-04      0.0003526
